Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;04 Balears, Illes;General;Índice;2014T1;92,840
Nacional;04 Balears, Illes;General;Índice;2013T4;94,876
Nacional;04 Balears, Illes;General;Índice;2013T3;94,286
Nacional;04 Balears, Illes;General;Índice;2013T2;92,472
Nacional;04 Balears, Illes;General;Índice;2013T1;92,688
Nacional;04 Balears, Illes;General;Índice;2012T4;98,472
Nacional;04 Balears, Illes;General;Índice;2012T3;100,069
Nacional;04 Balears, Illes;General;Índice;2012T2;101,737
Nacional;04 Balears, Illes;General;Índice;2012T1;102,879
Nacional;04 Balears, Illes;General;Índice;2011T4;111,130
Nacional;04 Balears, Illes;General;Índice;2011T3;116,348
Nacional;04 Balears, Illes;General;Índice;2011T2;119,621
Nacional;04 Balears, Illes;General;Índice;2011T1;120,820
Nacional;04 Balears, Illes;General;Índice;2010T4;123,202
Nacional;04 Balears, Illes;General;Índice;2010T3;122,719
Nacional;04 Balears, Illes;General;Índice;2010T2;124,473
Nacional;04 Balears, Illes;General;Índice;2010T1;124,524
Nacional;04 Balears, Illes;General;Índice;2009T4;124,886
Nacional;04 Balears, Illes;General;Índice;2009T3;125,190
Nacional;04 Balears, Illes;General;Índice;2009T2;127,041
Nacional;04 Balears, Illes;General;Índice;2009T1;127,995
Nacional;04 Balears, Illes;General;Índice;2008T4;132,299
Nacional;04 Balears, Illes;General;Índice;2008T3;137,833
Nacional;04 Balears, Illes;General;Índice;2008T2;140,641
Nacional;04 Balears, Illes;General;Índice;2008T1;139,331
Nacional;04 Balears, Illes;General;Índice;2007T4;141,156
Nacional;04 Balears, Illes;General;Índice;2007T3;141,550
Nacional;04 Balears, Illes;General;Índice;2007T2;138,926
Nacional;04 Balears, Illes;General;Índice;2007T1;134,284
Nacional;05 Canarias;General;Índice;2025T3;177,382
Nacional;05 Canarias;General;Índice;2025T2;173,589
Nacional;05 Canarias;General;Índice;2025T1;168,596
Nacional;05 Canarias;General;Índice;2024T4;160,865
Nacional;05 Canarias;General;Índice;2024T3;158,063
Nacional;05 Canarias;General;Índice;2024T2;155,476
Nacional;05 Canarias;General;Índice;2024T1;149,974
Nacional;05 Canarias;General;Índice;2023T4;145,446
Nacional;05 Canarias;General;Índice;2023T3;147,573
Nacional;05 Canarias;General;Índice;2023T2;143,283
Nacional;05 Canarias;General;Índice;2023T1;141,738
Nacional;05 Canarias;General;Índice;2022T4;139,123
Nacional;05 Canarias;General;Índice;2022T3;138,435
Nacional;05 Canarias;General;Índice;2022T2;137,058
Nacional;05 Canarias;General;Índice;2022T1;134,345
Nacional;05 Canarias;General;Índice;2021T4;128,649
Nacional;05 Canarias;General;Índice;2021T3;128,119
Nacional;05 Canarias;General;Índice;2021T2;125,239
Nacional;05 Canarias;General;Índice;2021T1;121,160
Nacional;05 Canarias;General;Índice;2020T4;119,330
Nacional;05 Canarias;General;Índice;2020T3;119,790
Nacional;05 Canarias;General;Índice;2020T2;117,712
Nacional;05 Canarias;General;Índice;2020T1;119,008
Nacional;05 Canarias;General;Índice;2019T4;118,344
Nacional;05 Canarias;General;Índice;2019T3;118,096
Nacional;05 Canarias;General;Índice;2019T2;116,974
Nacional;05 Canarias;General;Índice;2019T1;116,934
Nacional;05 Canarias;General;Índice;2018T4;114,839
Nacional;05 Canarias;General;Índice;2018T3;113,772
Nacional;05 Canarias;General;Índice;2018T2;113,327
Nacional;05 Canarias;General;Índice;2018T1;111,167
Nacional;05 Canarias;General;Índice;2017T4;110,270
Nacional;05 Canarias;General;Índice;2017T3;107,978
Nacional;05 Canarias;General;Índice;2017T2;106,971
Nacional;05 Canarias;General;Índice;2017T1;106,334
Nacional;05 Canarias;General;Índice;2016T4;103,994
Nacional;05 Canarias;General;Índice;2016T3;103,321
Nacional;05 Canarias;General;Índice;2016T2;103,263
Nacional;05 Canarias;General;Índice;2016T1;102,797
Nacional;05 Canarias;General;Índice;2015T4;100,637
Nacional;05 Canarias;General;Índice;2015T3;100,937
Nacional;05 Canarias;General;Índice;2015T2;101,338
Nacional;05 Canarias;General;Índice;2015T1;97,087
Nacional;05 Canarias;General;Índice;2014T4;97,117
Nacional;05 Canarias;General;Índice;2014T3;96,716
Nacional;05 Canarias;General;Índice;2014T2;97,829
Nacional;05 Canarias;General;Índice;2014T1;95,181
Nacional;05 Canarias;General;Índice;2013T4;96,606
Nacional;05 Canarias;General;Índice;2013T3;97,316
Nacional;05 Canarias;General;Índice;2013T2;98,051
Nacional;05 Canarias;General;Índice;2013T1;99,840
Nacional;05 Canarias;General;Índice;2012T4;103,660
Nacional;05 Canarias;General;Índice;2012T3;103,315
Nacional;05 Canarias;General;Índice;2012T2;108,044
Nacional;05 Canarias;General;Índice;2012T1;113,675
Nacional;05 Canarias;General;Índice;2011T4;119,605
Nacional;05 Canarias;General;Índice;2011T3;121,593
Nacional;05 Canarias;General;Índice;2011T2;126,088
Nacional;05 Canarias;General;Índice;2011T1;127,156
Nacional;05 Canarias;General;Índice;2010T4;129,540
Nacional;05 Canarias;General;Índice;2010T3;130,380
Nacional;05 Canarias;General;Índice;2010T2;132,972
Nacional;05 Canarias;General;Índice;2010T1;131,541
Nacional;05 Canarias;General;Índice;2009T4;133,802
Nacional;05 Canarias;General;Índice;2009T3;134,275
Nacional;05 Canarias;General;Índice;2009T2;134,569
Nacional;05 Canarias;General;Índice;2009T1;135,116
Nacional;05 Canarias;General;Índice;2008T4;137,190
Nacional;05 Canarias;General;Índice;2008T3;140,081
Nacional;05 Canarias;General;Índice;2008T2;140,650
Nacional;05 Canarias;General;Índice;2008T1;141,207
Nacional;05 Canarias;General;Índice;2007T4;140,620
Nacional;05 Canarias;General;Índice;2007T3;139,186
Nacional;05 Canarias;General;Índice;2007T2;136,815
Nacional;05 Canarias;General;Índice;2007T1;132,560
Nacional;06 Cantabria;General;Índice;2025T3;179,330
Nacional;06 Cantabria;General;Índice;2025T2;171,527
Nacional;06 Cantabria;General;Índice;2025T1;165,005
Nacional;06 Cantabria;General;Índice;2024T4;161,488
Nacional;06 Cantabria;General;Índice;2024T3;159,264
Nacional;06 Cantabria;General;Índice;2024T2;154,782
Nacional;06 Cantabria;General;Índice;2024T1;149,716
Nacional;06 Cantabria;General;Índice;2023T4;144,492
Nacional;06 Cantabria;General;Índice;2023T3;146,299
Nacional;06 Cantabria;General;Índice;2023T2;142,467
Nacional;06 Cantabria;General;Índice;2023T1;140,174
Nacional;06 Cantabria;General;Índice;2022T4;138,485
Nacional;06 Cantabria;General;Índice;2022T3;138,120
Nacional;06 Cantabria;General;Índice;2022T2;136,007
Nacional;06 Cantabria;General;Índice;2022T1;132,760
Nacional;06 Cantabria;General;Índice;2021T4;127,541
Nacional;06 Cantabria;General;Índice;2021T3;126,327
Nacional;06 Cantabria;General;Índice;2021T2;123,708
Nacional;06 Cantabria;General;Índice;2021T1;119,634
Nacional;06 Cantabria;General;Índice;2020T4;118,424
Nacional;06 Cantabria;General;Índice;2020T3;118,200
Nacional;06 Cantabria;General;Índice;2020T2;117,457
Nacional;06 Cantabria;General;Índice;2020T1;117,236
Nacional;06 Cantabria;General;Índice;2019T4;117,029
Nacional;06 Cantabria;General;Índice;2019T3;116,593
Nacional;06 Cantabria;General;Índice;2019T2;115,962
