País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2014;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2014;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2013;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2013;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2013;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2013;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2012;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2012;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2012;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2012;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2011;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2011;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2011;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2011;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2010;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2010;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2010;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2010;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2009;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2009;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2009;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2009;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2008;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2008;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2008;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2008;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2007;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2007;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2007;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2007;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2006;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2006;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2006;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2006;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2005;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2005;""
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2005;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2005;""
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2004;""
